 TIME (ms)      DELTA_TEMP (K) AVG_TEMP (K)   
  1.9910021E+10  1.9410000E+00  1.8429999E+02 
  1.9913499E+10  1.9410000E+00  1.8429999E+02 
  1.9916980E+10  1.9410000E+00  1.8429999E+02 
  1.9920458E+10  1.9419999E+00  1.8429999E+02 
  1.9923931E+10  1.9410000E+00  1.8428000E+02 
  1.9927409E+10  1.9419999E+00  1.8429999E+02 
  1.9930890E+10  1.9410000E+00  1.8428000E+02 
  1.9934368E+10  1.9410000E+00  1.8423999E+02 
  1.9937841E+10  1.9410000E+00  1.8425998E+02 
  1.9940450E+10  1.9419999E+00  1.8423999E+02 
  1.9943059E+10  1.9410000E+00  1.8420999E+02 
  1.9946541E+10  1.9410000E+00  1.8420999E+02 
  1.9950019E+10  1.9410000E+00  1.8420999E+02 
  1.9953488E+10  1.9419999E+00  1.8420999E+02 
  1.9956969E+10  1.9419999E+00  1.8420999E+02 
  1.9960451E+10  1.9410000E+00  1.8418997E+02 
  1.9965940E+10  1.9410000E+00  1.8416998E+02 
  1.9969409E+10  1.9410000E+00  1.8414999E+02 
  1.9972891E+10  1.9410000E+00  1.8414999E+02 
  1.9976368E+10  1.9410000E+00  1.8414999E+02 
  1.9979850E+10  1.9419999E+00  1.8414999E+02 
  1.9983319E+10  1.9419999E+00  1.8414999E+02 
  1.9986801E+10  1.9419999E+00  1.8412997E+02 
  1.9988111E+10  1.9410000E+00  1.8407999E+02 
  1.9991589E+10  1.9410000E+00  1.8410999E+02 
  1.9995058E+10  1.9410000E+00  1.8407999E+02 
  1.9998540E+10  1.9410000E+00  1.8410999E+02 
  2.0002021E+10  1.9410000E+00  1.8407999E+02 
  2.0005499E+10  1.9410000E+00  1.8407999E+02 
  2.0008968E+10  1.9410000E+00  1.8406000E+02 
  2.0012450E+10  1.9410000E+00  1.8406000E+02 
  2.0015931E+10  1.9419999E+00  1.8407999E+02 
  2.0019409E+10  1.9419999E+00  1.8406000E+02 
  2.0022878E+10  1.9410000E+00  1.8403998E+02 
  2.0026360E+10  1.9410000E+00  1.8401999E+02 
  2.0029841E+10  1.9410000E+00  1.8401999E+02 
  2.0033319E+10  1.9410000E+00  1.8401999E+02 
