time                     TG21A    TG21B  TG21avg   DTH21   DTL21 
1975-093T04:09:21.537  295.146  266.147  280.646   2.889  28.999 
1975-093T04:16:36.231  295.065  266.071  280.568   2.888  28.993 
1975-093T04:23:50.926  294.984  265.996  280.490   2.887  28.988 
1975-093T04:31:05.622  294.890  265.908  280.399   2.886  28.982 
1975-093T04:38:20.317  294.890  265.908  280.399   2.886  28.982 
1975-093T04:45:35.013  294.796  265.820  280.308   2.885  28.976 
1975-093T04:52:49.709  294.758  265.793  280.276   2.885  28.965 
1975-093T05:00:04.414  294.662  265.708  280.185   2.884  28.954 
1975-093T05:07:19.110  294.584  265.630  280.107   2.883  28.953 
1975-093T05:14:33.805  294.523  265.575  280.049   2.882  28.948 
1975-093T05:21:48.501  294.396  265.455  279.926   2.880  28.941 
1975-093T05:29:03.197  294.313  265.383  279.848   2.880  28.931 
1975-093T05:36:17.893  294.265  265.340  279.803   2.879  28.925 
1975-093T05:43:32.588  294.230  265.310  279.770   2.879  28.920 
1975-093T05:50:47.284  294.137  265.223  279.680   2.878  28.914 
1975-093T05:58:01.980  294.046  265.133  279.589   2.877  28.913 
1975-093T06:05:16.676  293.963  265.061  279.512   2.877  28.902 
1975-093T06:12:31.372  293.915  265.018  279.467   2.876  28.896 
1975-093T06:19:46.068  293.821  264.931  279.376   2.875  28.891 
1975-093T06:27:00.764  293.774  264.888  279.331   2.874  28.885 
1975-093T06:34:15.460  293.613  264.739  279.176   2.873  28.873 
1975-093T06:41:30.156  293.517  264.655  279.086   2.871  28.862 
1975-093T06:48:44.853  293.424  264.568  278.996   2.871  28.857 
1975-093T06:55:59.540  293.374  264.528  278.951   2.870  28.846 
1975-093T07:03:14.236  293.291  264.456  278.874   2.869  28.835 
1975-093T07:10:28.932  293.168  264.334  278.751   2.867  28.834 
1975-093T07:17:43.628  293.076  264.248  278.662   2.867  28.828 
1975-093T07:24:58.325  292.980  264.163  278.572   2.866  28.817 
1975-093T07:32:13.021  292.930  264.124  278.527   2.865  28.807 
1975-093T07:39:27.718  292.805  264.005  278.405   2.864  28.800 
1975-093T07:46:42.414  292.710  263.921  278.315   2.863  28.790 
1975-093T07:53:57.110  292.595  263.817  278.206   2.862  28.778 
1975-093T08:01:11.807  292.458  263.686  278.072   2.861  28.772 
1975-093T08:08:26.504  292.411  263.644  278.027   2.860  28.767 
1975-093T08:15:41.200  292.328  263.572  277.950   2.859  28.756 
1975-093T08:22:55.897  292.156  263.412  277.784   2.857  28.744 
1975-093T08:30:10.594  292.109  263.370  277.740   2.857  28.739 
1975-093T08:37:25.290  291.972  263.240  277.606   2.856  28.733 
1975-093T08:44:39.987  291.855  263.139  277.497   2.854  28.716 
1975-093T08:51:54.684  291.796  263.085  277.440   2.854  28.711 
1975-093T08:59:09.381  291.634  262.940  277.287   2.852  28.694 
1975-093T09:06:24.078  291.542  262.854  277.198   2.851  28.689 
1975-093T09:13:38.773  291.418  262.736  277.077   2.849  28.682 
1975-093T09:20:53.470  291.299  262.628  276.964   2.848  28.671 
1975-093T09:28:08.167  291.233  262.567  276.900   2.848  28.666 
1975-093T09:35:22.864  291.104  262.454  276.779   2.846  28.650 
1975-093T09:42:37.563  290.936  262.293  276.614   2.844  28.643 
1975-093T09:49:52.260  290.839  262.212  276.526   2.843  28.627 
1975-093T09:57:06.957  290.714  262.097  276.405   2.842  28.616 
1975-093T10:04:21.654  290.588  261.983  276.285   2.841  28.605 
1975-093T10:11:36.351  290.418  261.824  276.121   2.839  28.594 
1975-093T10:18:51.048  290.245  261.668  275.957   2.837  28.577 
1975-093T10:26:05.745  290.108  261.542  275.825   2.835  28.566 
